trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,num_distr,Fixation.started,target.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,
46,0,46,0,10,78.54973075000089,78.54973075000089,0.017764874999556923,[-0.058888888888888886],[0.044444444444444446],[1],[0],[0],[1.1222468329997355],['target'],1,001,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,
47,0,47,0,5,79.68153083400102,79.68153083400102,0.009586250000211294,[-0.006666666666666667],[-0.17333333333333334],[1],[0],[0],[1.1758527919992048],['target'],1,001,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,
48,0,48,0,5,80.8698362920004,80.8698362920004,0.009751208999659866,[0.015555555555555555],[-0.09444444444444444],[1],[0],[0],[1.0043935419998888],['target'],1,001,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,
49,0,49,0,5,81.8869421670006,81.8869421670006,0.00987895800062688,[-0.04777777777777778],[0.3933333333333333],[1],[0],[0],[1.2710796249994019],['target'],1,001,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,
50,0,50,0,10,83.18100929200045,83.18100929200045,0.018191625000326894,[0.4122222222222222],[-0.46555555555555556],[1],[0],[0],[2.331834374999744],['target'],1,001,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,
51,0,51,0,5,85.52277962500011,85.52277962500011,0.009719833000417566,[0.30777777777777776],[-0.34444444444444444],[1],[0],[0],[1.6186836670003686],['target'],1,001,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,
52,0,52,0,5,87.15432654200049,87.15432654200049,0.009925792001013178,[0.15333333333333332],[0.0],[1],[0],[0],[1.1206727909993788],['target'],1,001,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,
53,0,53,0,5,88.28724679200059,88.28724679200059,0.009925124999426771,[0.3055555555555556],[0.36666666666666664],[1],[0],[0],[1.286837416999333],['target'],1,001,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,
54,0,54,0,10,89.5966845840012,89.5966845840012,0.01780016699922271,[0.10222222222222223],[-0.13444444444444445],[1],[0],[0],[1.2660353329993086],['target'],1,001,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,
55,0,55,0,10,90.88339833400096,90.88339833400096,0.01782854100019904,[0.2811111111111111],[-0.016666666666666666],[1],[0],[0],[1.112308125000709],['target'],1,001,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,
56,0,56,0,10,92.01590820900128,92.01590820900128,0.01790166699902329,[-0.45555555555555555],[-0.16111111111111112],[1],[0],[0],[1.5632859580000513],['target'],1,001,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,
57,0,57,0,5,93.58931966700038,93.58931966700038,0.009795625001061126,[0.4811111111111111],[0.46],[1],[0],[0],[1.8521078329995362],['target'],1,001,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,
58,0,58,0,5,95.4540363340002,95.4540363340002,0.009932582999681472,[-0.2788888888888889],[0.0],[1],[0],[0],[1.2873795409996092],['target'],1,001,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,
59,0,59,0,5,96.75407433400142,96.75407433400142,0.009936708000168437,[0.4111111111111111],[0.2677777777777778],[1],[0],[0],[1.1873022079998918],['target'],1,001,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,
60,0,60,0,10,97.96421045900024,97.96421045900024,0.01777258400034043,[0.30666666666666664],[-0.06222222222222222],[1],[0],[0],[1.2084667079998326],[],1,001,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,
61,0,61,0,5,99.18196549999993,99.18196549999993,0.009382165999340941,[0.20666666666666667],[-0.24222222222222223],[1],[0],[0],[1.1762863750009274],['target'],1,001,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,
62,0,62,0,5,100.37071416700019,100.37071416700019,0.009791208000024199,[0.0077777777777777776],[0.2877777777777778],[1],[0],[0],[1.171258708998721],['target'],1,001,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,
63,0,63,0,5,101.5545072090008,101.5545072090008,0.009736707999763894,[0.38222222222222224],[-0.4088888888888889],[1],[0],[0],[1.287969166000039],['target'],1,001,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,
64,0,64,0,10,102.86502758400093,102.86502758400093,0.018024500001047272,[0.10222222222222223],[0.36777777777777776],[1],[0],[0],[1.441173584000353],['target'],1,001,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,
65,0,65,0,10,104.3262790000008,104.3262790000008,0.017500250000011874,[0.09888888888888889],[0.21333333333333335],[1],[0],[0],[0.8379268329990737],['target'],1,001,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,
66,0,66,0,10,105.1846119590009,105.1846119590009,0.0179074160005257,[0.23777777777777778],[-0.40555555555555556],[1],[0],[0],[1.2548777920001157],['target'],1,001,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,
67,0,67,0,5,106.44879304200003,106.44879304200003,0.009439499999643886,[0.2388888888888889],[-0.2966666666666667],[1],[0],[0],[1.1422801249991608],['target'],1,001,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,
68,0,68,0,10,107.61394050000126,107.61394050000126,0.01767604199994821,[0.16],[0.21],[1],[0],[0],[1.1992315000006784],['target'],1,001,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,
69,0,69,0,10,108.83369733400104,108.83369733400104,0.017648541999733425,[0.29555555555555557],[-0.39555555555555555],[1],[0],[0],[1.356721624999409],['target'],1,001,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,
70,0,70,0,10,110.20968079200065,110.20968079200065,0.017176540999571444,[-0.4688888888888889],[0.03777777777777778],[1],[0],[0],[1.8370112079992396],['target'],1,001,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,
71,0,71,0,10,112.06696312500026,112.06696312500026,0.017697499999485444,[0.16111111111111112],[0.3433333333333333],[1],[0],[0],[1.5897562919999473],['target'],1,001,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,
72,0,72,0,10,113.67628783400141,113.67628783400141,0.017286000000240165,[-0.11888888888888889],[-0.12555555555555556],[1],[0],[0],[1.6130261660000542],['target'],1,001,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,
73,0,73,0,5,115.29870470900096,115.29870470900096,0.009343749999970896,[-0.025555555555555557],[0.4166666666666667],[1],[0],[0],[1.3602550410014373],['target'],1,001,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,
74,0,74,0,10,116.68203541700132,116.68203541700132,0.017727291000483092,[-0.26555555555555554],[0.35444444444444445],[1],[0],[0],[1.1316839169994637],['target'],1,001,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,
75,0,75,0,10,117.83406370900047,117.83406370900047,0.017684874999758904,[-0.11666666666666667],[-0.47555555555555556],[1],[0],[0],[1.4894453750002867],['target'],1,001,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,
76,0,76,0,10,119.34254254200096,119.34254254200096,0.017169417000332032,[-0.37444444444444447],[0.2544444444444444],[1],[0],[0],[1.3047435419994144],['target'],1,001,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,
77,0,77,0,5,120.65763012500065,120.65763012500065,0.009763625001141918,[-0.05],[0.4444444444444444],[1],[0],[0],[1.284837499999412],['target'],1,001,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,
78,0,78,0,10,121.96479716700014,121.96479716700014,0.017653791999691748,[-0.07333333333333333],[0.33111111111111113],[1],[0],[0],[0.9145090000001801],['target'],1,001,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,
79,0,79,0,5,122.88917762500023,122.88917762500023,0.009797082999284612,[0.034444444444444444],[0.4],[1],[0],[0],[0.9354379169999447],['target'],1,001,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,
80,0,80,0,5,123.83759958400151,123.83759958400151,0.009954458999345661,[-0.3244444444444444],[0.14555555555555555],[1],[0],[0],[1.0717712089990528],['target'],1,001,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,
81,0,81,0,5,124.9213436250011,124.9213436250011,0.00967504199979885,[0.3877777777777778],[-0.4666666666666667],[1],[0],[0],[1.7878382079998119],[],1,001,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,
82,0,82,0,5,126.72178675000032,126.72178675000032,0.009974708998925053,[-0.14555555555555555],[-0.28888888888888886],[1],[0],[0],[1.3374410409996926],['target'],1,001,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,
83,0,83,0,10,128.0824100000009,128.0824100000009,0.017884958999275113,[0.4711111111111111],[0.29777777777777775],[1],[0],[0],[1.2748942920006812],['target'],1,001,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,
84,0,84,0,10,129.37702908400024,129.37702908400024,0.017573540999364923,[-0.052222222222222225],[-0.051111111111111114],[1],[0],[0],[1.3707461249996413],['target'],1,001,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,
85,0,85,0,5,130.75779112500095,130.75779112500095,0.00966737500129966,[-0.4166666666666667],[0.35555555555555557],[1],[0],[0],[1.4519866249993356],['target'],1,001,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,
